"GeneID","logFC","logCPM","F","PValue","FDR","Expression"
"AT3G23580",2.27946877632214,5.7924272143338,11.8588845087733,0.000574005175497913,0.143831029334475,"Not Significant"
"AT5G67480",2.01015100129112,6.26965398852323,11.8381569346421,0.000581655305122064,0.143831029334475,"Not Significant"
"AT5G49910",1.61766921268733,7.59538883117369,11.826217546175,0.000584162920860279,0.143831029334475,"Not Significant"
"AT2G48070",-1.87304978563511,6.16909677327566,11.8241203296215,0.000584821213975101,0.143831029334475,"Not Significant"
"AT2G41380",3.49135651977831,4.75499521719641,11.7931255341292,0.00059463794080821,0.14500598937929,"Not Significant"
"AT2G41190",1.91761130138169,6.38749276775437,11.7766398993859,0.000603091840291932,0.145831661381515,"Not Significant"
"AT1G53635",-4.38334974694444,1.30646459730956,21.296313431753,0.000615489293785348,0.147398596787219,"Not Significant"
"AT1G79940",2.41661670067651,5.55840908042729,11.7162192615557,0.00061981686225034,0.147398596787219,"Not Significant"
"AT1G51700",2.32204672055196,5.66115198567028,11.6378125547173,0.000646393530734627,0.15245880202368,"Not Significant"
"AT2G40610",-1.77971069141101,6.50773714237,11.4819967350149,0.000703181410171867,0.16450443152598,"Not Significant"
"AT1G49450",2.70328624759117,5.22888920777884,11.4360798554733,0.000721182037885071,0.167354944678572,"Not Significant"
"AT5G36925",1.9118018165805,6.38206180843768,11.4103878874279,0.000730507041714472,0.168162721002672,"Not Significant"
"AT4G39950",1.66390194053817,7.13503501594546,11.3342609894519,0.000761066984177119,0.173807162457909,"Not Significant"
"AT3G15670",2.75496185187204,5.2277906500019,11.3870975213956,0.00079353601959562,0.179795267432,"Not Significant"
"AT3G17520",3.94495741227623,6.51510002874969,14.7169675034064,0.000811114285373579,0.182342293450193,"Not Significant"
"AT1G23870",-4.20996556786764,1.87916913799216,11.1807743478448,0.000826668420414716,0.183823947875051,"Not Significant"
"AT5G42320",-1.68443657926045,6.71389665573115,11.1722348254241,0.000830481780147929,0.183823947875051,"Not Significant"
"AT5G66780",8.05147665668422,3.95000697010105,11.1025858008408,0.000862255265284886,0.189399963805898,"Not Significant"
"AT5G45410",1.76246997182346,6.65242224896506,11.0470630804257,0.000888462679976021,0.192985112141271,"Not Significant"
"AT1G01120",2.13112994212228,5.81840259696389,11.0397162853759,0.000891990266369734,0.192985112141271,"Not Significant"
"AT3G61270",-4.14572436992983,1.86551133347421,10.9924481246936,0.000915027341988265,0.196491878848599,"Not Significant"
